date-time,day,active_power,active_energy
2020-06-01-1,1,2667.9,872.612
2020-06-01-2,1,2612.1,875.152
2020-06-01-3,1,2574.6,877.65
2020-06-01-4,1,2521.0,880.126
2020-06-01-5,1,2531.6,882.565
2020-06-01-6,1,2533.0,884.925
2020-06-01-7,1,2589.7,887.307
2020-06-01-8,1,3008.3,889.779
2020-06-01-9,1,3231.8,892.52
2020-06-01-10,1,3280.2,895.704
2020-06-01-11,1,3297.5,898.733
2020-06-01-12,1,3275.9,901.766
2020-06-01-13,1,3291.4,904.729
2020-06-01-14,1,3320.2,907.802
2020-06-01-15,1,3308.4,910.896
2020-06-01-16,1,3308.4,913.98
2020-06-01-17,1,3309.6,917.053
2020-06-01-18,1,3102.9,920.119
2020-06-01-19,1,2930.1,923.028
2020-06-01-20,1,2970.6,925.839
2020-06-01-21,1,2924.6,928.63
2020-06-01-22,1,2853.1,931.373
2020-06-01-23,1,2802.3,934.045
2020-06-02-0,1,2652.0,936.688
2020-06-02-2,1,2496.0,941.688
2020-06-02-3,1,2526.7,944.083
2020-06-02-4,1,2526.7,946.439
2020-06-02-5,1,2493.3,948.771
2020-06-02-6,1,2473.3,951.052
2020-06-02-7,1,2561.7,953.34
2020-06-02-8,1,2927.4,955.689
2020-06-02-9,1,3030.6,958.254
2020-06-02-10,1,3157.6,961.091
2020-06-02-11,1,3186.4,964.035
2020-06-02-12,1,3089.6,966.993
2020-06-02-13,1,3362.8,969.903
2020-06-02-14,1,3381.3,973.053
2020-06-02-15,1,3468.5,976.282
2020-06-02-16,1,3466.6,979.516
2020-06-02-17,1,3493.6,982.797
2020-06-02-18,1,3330.2,986.136
2020-06-02-19,1,3236.2,989.308
2020-06-02-20,1,3165.0,992.346
2020-06-02-21,1,3167.6,995.382
2020-06-02-22,1,2977.0,998.351
2020-06-02-23,1,2898.1,1.197
2020-06-03-0,1,2921.0,3.974
2020-06-03-1,1,2805.7,6.706
2020-06-03-3,1,2651.9,11.962
2020-06-03-4,1,2600.8,14.481
2020-06-03-5,1,2666.1,16.978
2020-06-03-6,1,2661.1,19.465
2020-06-03-7,1,2684.3,21.939
2020-06-03-8,1,3083.1,24.489
2020-06-03-9,1,3350.5,27.391
2020-06-03-10,1,3483.8,30.615
2020-06-03-11,1,3534.1,33.967
2020-06-03-12,1,3458.6,37.307
2020-06-03-13,1,3711.9,40.626
2020-06-03-14,1,3683.8,44.151
2020-06-03-15,1,3787.2,47.659
2020-06-03-16,1,3724.0,51.267
2020-06-03-17,1,3714.1,54.849
2020-06-03-18,1,3702.9,58.435
2020-06-03-19,1,3368.5,61.867
2020-06-03-20,1,3394.2,65.129
2020-06-03-21,1,3183.2,68.349
2020-06-03-22,1,3129.9,71.41
2020-06-03-23,1,3059.5,74.405
2020-06-04-0,1,2980.6,77.33
2020-06-04-1,1,2913.4,80.193
2020-06-04-2,1,2849.5,82.962
2020-06-05-5,1,2684.0,167.073
2020-06-05-6,1,2616.6,169.621
2020-06-05-7,1,2781.0,172.132
2020-06-05-8,1,3333.9,174.786
2020-06-05-9,1,3476.2,177.736
2020-06-05-10,1,3689.5,181.077
2020-06-05-11,1,3764.5,184.602
2020-06-05-12,1,3803.0,188.215
2020-06-05-13,1,3963.8,191.806
2020-06-05-14,1,3991.7,195.539
2020-06-05-15,1,4071.2,199.355
2020-06-05-16,1,3926.3,203.245
2020-06-05-17,1,3906.1,207.012
2020-06-05-18,1,3739.0,210.761
2020-06-05-19,1,3373.8,214.269
2020-06-05-20,1,3378.0,217.505
2020-06-05-21,1,3203.2,220.68
2020-06-05-22,1,3120.8,223.744
2020-06-05-23,1,3059.3,226.72
2020-06-06-0,0,2904.1,229.582
2020-06-06-1,0,2845.5,232.353
2020-06-06-2,0,2775.4,235.021
2020-06-06-3,0,2669.7,237.647
2020-06-06-4,0,2699.0,240.206
2020-06-06-6,0,2626.0,245.275
2020-06-06-7,0,2657.3,247.751
2020-06-06-8,0,2814.3,250.262
2020-06-06-9,0,2775.0,252.854
2020-06-06-10,0,2783.1,255.531
2020-06-06-11,0,2816.2,258.182
2020-06-06-12,0,3042.9,260.89
2020-06-06-13,0,3093.1,263.682
2020-06-06-14,0,3127.2,266.515
2020-06-06-15,0,3171.9,269.471
2020-06-06-16,0,3184.8,272.51
2020-06-06-17,0,3143.3,275.568
2020-06-06-18,0,3096.0,278.58
2020-06-06-19,0,3105.0,281.56
2020-06-06-20,0,3066.8,284.518
2020-06-06-21,0,3054.3,287.48
2020-06-06-22,0,3045.8,290.411
2020-06-06-23,0,2999.8,293.311
2020-06-07-0,0,2920.0,296.165
2020-06-07-1,0,2834.3,298.94
2020-06-07-2,0,2734.8,301.632
2020-06-07-3,0,2717.4,304.287
2020-06-07-4,0,2691.0,306.895
2020-06-07-5,0,2674.4,309.443
2020-06-07-7,0,2633.9,314.428
2020-06-07-8,0,2697.3,316.952
2020-06-07-9,0,2769.8,319.534
2020-06-07-10,0,2864.2,322.168
2020-06-07-11,0,2796.2,324.84
2020-06-07-12,0,2889.5,327.503
2020-06-07-13,0,2996.7,330.225
2020-06-07-14,0,2949.0,332.944
2020-06-07-15,0,3020.6,335.764
2020-06-07-16,0,3088.8,338.688
2020-06-07-17,0,3233.6,341.658
2020-06-07-18,0,3171.4,344.728
2020-06-07-19,0,3175.3,347.789
2020-06-07-20,0,3160.9,350.818
2020-06-07-21,0,3084.3,353.854
2020-06-07-22,0,3159.2,356.802
2020-06-07-23,0,2974.0,359.742
2020-06-08-0,1,2915.4,362.597
2020-06-08-1,1,2844.7,365.385
2020-06-08-2,1,2770.4,368.082
2020-06-08-3,1,2698.1,370.732
2020-06-08-4,1,2697.8,373.299
2020-06-08-5,1,2554.2,375.837
2020-06-08-6,1,2635.3,378.315
2020-06-09-9,1,3733.1,464.396
2020-06-09-10,1,3909.4,467.94
2020-06-09-11,1,3951.7,471.642
2020-06-09-12,1,3808.3,475.416
2020-06-09-13,1,4143.7,479.077
2020-06-09-14,1,4071.1,482.94
2020-06-09-15,1,4177.2,486.791
2020-06-09-16,1,4211.5,490.771
2020-06-09-17,1,4238.7,494.808
2020-06-09-18,1,4064.2,498.853
2020-06-09-19,1,3906.2,502.679
2020-06-09-20,1,3762.3,506.376
2020-06-09-21,1,3559.3,509.949
2020-06-09-22,1,3349.5,513.285
2020-06-09-23,1,3255.7,516.477
2020-06-10-0,1,3226.3,519.613
2020-06-10-1,1,3111.8,522.642
2020-06-10-2,1,2998.4,525.602
2020-06-10-3,1,2868.9,528.47
2020-06-10-4,1,2902.4,531.223
2020-06-10-5,1,2795.6,533.965
2020-06-10-6,1,2791.1,536.584
2020-06-10-7,1,2986.2,539.233
2020-06-10-8,1,3591.2,541.984
2020-06-11-11,1,4101.0,634.058
2020-06-11-12,1,3989.2,637.961
2020-06-11-13,1,4031.4,641.851
2020-06-11-14,1,4252.2,645.732
2020-06-11-15,1,4219.4,649.741
2020-06-11-16,1,4165.1,653.802
2020-06-11-17,1,4215.5,657.868
2020-06-11-18,1,4073.7,661.948
2020-06-11-19,1,3831.6,665.784
2020-06-11-20,1,3643.8,669.467
2020-06-11-21,1,3529.4,672.972
2020-06-11-22,1,3468.9,676.374
2020-06-11-23,1,3376.3,679.659
2020-06-12-0,1,3253.4,682.857
2020-06-12-1,1,3127.3,685.936
2020-06-12-2,1,3036.5,688.917
2020-06-12-3,1,2986.9,691.811
2020-06-12-4,1,2926.4,694.658
2020-06-12-5,1,2898.1,697.462
2020-06-12-6,1,2879.5,700.203
2020-06-12-7,1,3051.4,702.921
2020-06-12-8,1,3512.8,705.768
2020-06-12-9,1,4029.3,709.011
2020-06-12-10,1,4091.4,712.81
2020-06-12-12,1,4053.6,720.683
2020-06-12-13,1,4082.0,724.554
2020-06-12-14,1,4202.5,728.458
2020-06-12-15,1,4119.7,732.418
2020-06-12-16,1,4229.6,736.359
2020-06-12-17,1,4001.0,740.354
2020-06-12-18,1,3696.2,744.194
2020-06-12-19,1,3600.7,747.719
2020-06-12-20,1,3422.8,751.055
2020-06-12-21,1,3337.3,754.348
2020-06-12-22,1,3268.1,757.556
2020-06-12-23,1,3201.4,760.682
2020-06-13-0,0,3171.7,763.737
2020-06-13-1,0,3048.7,766.757
2020-06-13-2,0,2974.6,769.663
2020-06-13-3,0,2945.4,772.52
2020-06-13-4,0,2852.1,775.32
2020-06-13-5,0,2864.1,778.068
2020-06-13-6,0,2797.3,780.781
2020-06-13-7,0,2828.7,783.486
2020-06-13-8,0,3003.1,786.169
2020-06-13-9,0,3064.3,788.983
2020-06-13-10,0,3080.4,791.876
2020-06-13-11,0,3152.0,794.798
2020-06-13-13,0,3371.6,800.92
2020-06-13-14,0,3399.4,804.049
2020-06-13-15,0,3429.1,807.319
2020-06-13-16,0,3425.9,810.629
2020-06-13-17,0,3408.3,813.899
2020-06-13-18,0,3390.7,817.176
2020-06-13-19,0,3304.3,820.384
2020-06-13-20,0,3299.8,823.537
2020-06-13-21,0,3257.2,826.737
2020-06-13-22,0,3326.2,829.864
2020-06-13-23,0,3232.4,833.007
2020-06-14-0,0,3119.3,836.107
