month,date,time,day,active_energy
6,1,1,1,473.0
6,1,2,1,475.0
6,1,3,1,477.0
6,1,4,1,478.0
6,1,5,1,480.0
6,1,6,1,482.0
6,1,7,1,483.0
6,1,8,1,485.0
6,1,9,1,487.0
6,1,10,1,489.0
6,1,11,1,491.0
6,1,12,1,494.0
6,1,13,1,496.0
6,1,14,1,498.0
6,1,15,1,500.0
6,1,16,1,502.0
6,1,17,1,504.0
6,1,18,1,507.0
6,1,19,1,509.0
6,1,20,1,511.0
6,1,21,1,513.0
6,1,22,1,515.0
6,1,23,1,516.0
6,2,0,1,518.0
6,2,2,1,522.0
6,2,3,1,523.0
6,2,4,1,525.0
6,2,5,1,526.0
6,2,6,1,528.0
6,2,7,1,530.0
6,2,8,1,531.0
6,2,9,1,533.0
6,2,10,1,535.0
6,2,11,1,537.0
6,2,12,1,539.0
6,2,13,1,541.0
6,2,14,1,543.0
6,2,15,1,546.0
6,2,16,1,548.0
6,2,17,1,550.0
6,2,18,1,553.0
6,2,19,1,555.0
6,2,20,1,557.0
6,2,21,1,559.0
6,2,22,1,561.0
6,2,23,1,563.0
6,3,0,1,565.0
6,3,1,1,567.0
6,3,3,1,570.0
6,3,4,1,572.0
6,3,5,1,574.0
6,3,6,1,575.0
6,3,7,1,577.0
6,3,8,1,579.0
6,3,9,1,581.0
6,3,10,1,583.0
6,3,11,1,585.0
6,3,12,1,588.0
6,3,13,1,590.0
6,3,14,1,592.0
6,3,15,1,595.0
6,3,16,1,597.0
6,3,17,1,600.0
6,3,18,1,602.0
6,3,19,1,605.0
6,3,20,1,607.0
6,3,21,1,609.0
6,3,22,1,611.0
6,3,23,1,613.0
6,4,0,1,615.0
6,4,1,1,617.0
6,4,2,1,619.0
6,5,5,1,677.0
6,5,6,1,679.0
6,5,7,1,680.0
6,5,8,1,682.0
6,5,9,1,684.0
6,5,10,1,686.0
6,5,11,1,689.0
6,5,12,1,691.0
6,5,13,1,694.0
6,5,14,1,696.0
6,5,15,1,699.0
6,5,16,1,702.0
6,5,17,1,704.0
6,5,18,1,707.0
6,5,19,1,709.0
6,5,20,1,712.0
6,5,21,1,714.0
6,5,22,1,716.0
6,5,23,1,718.0
6,6,0,0,720.0
6,6,1,0,722.0
6,6,2,0,723.0
6,6,3,0,725.0
6,6,4,0,727.0
6,6,6,0,730.0
6,6,7,0,732.0
6,6,8,0,734.0
6,6,9,0,735.0
6,6,10,0,737.0
6,6,11,0,739.0
6,6,12,0,741.0
6,6,13,0,743.0
6,6,14,0,744.0
6,6,15,0,746.0
6,6,16,0,749.0
6,6,17,0,751.0
6,6,18,0,753.0
6,6,19,0,755.0
6,6,20,0,757.0
6,6,21,0,759.0
6,6,22,0,761.0
6,6,23,0,763.0
6,7,0,0,765.0
6,7,1,0,766.0
6,7,2,0,768.0
6,7,3,0,770.0
6,7,4,0,772.0
6,7,5,0,774.0
6,7,7,0,777.0
6,7,8,0,778.0
6,7,9,0,780.0
6,7,10,0,782.0
6,7,11,0,784.0
6,7,12,0,786.0
6,7,13,0,787.0
6,7,14,0,789.0
6,7,15,0,791.0
6,7,16,0,793.0
6,7,17,0,795.0
6,7,18,0,797.0
6,7,19,0,799.0
6,7,20,0,801.0
6,7,21,0,803.0
6,7,22,0,805.0
6,7,23,0,807.0
6,8,0,1,809.0
6,8,1,1,811.0
6,8,2,1,813.0
6,8,3,1,815.0
6,8,4,1,816.0
6,8,5,1,818.0
6,8,6,1,820.0
6,9,9,1,879.0
6,9,10,1,881.0
6,9,11,1,883.0
6,9,12,1,886.0
6,9,13,1,889.0
6,9,14,1,891.0
6,9,15,1,894.0
6,9,16,1,897.0
6,9,17,1,900.0
6,9,18,1,903.0
6,9,19,1,905.0
6,9,20,1,908.0
6,9,21,1,910.0
6,9,22,1,912.0
6,9,23,1,914.0
6,10,0,1,916.0
6,10,1,1,919.0
6,10,2,1,921.0
6,10,3,1,922.0
6,10,4,1,924.0
6,10,5,1,926.0
6,10,6,1,928.0
6,10,7,1,930.0
6,10,8,1,932.0
6,11,11,1,995.0
6,11,12,1,998.0
6,11,13,1,0.0
6,11,14,1,3.0
6,11,15,1,6.0
6,11,16,1,9.0
6,11,17,1,11.0
6,11,18,1,14.0
6,11,19,1,17.0
6,11,20,1,19.0
6,11,21,1,22.0
6,11,22,1,24.0
6,11,23,1,26.0
6,12,0,1,28.0
6,12,1,1,31.0
6,12,2,1,32.0
6,12,3,1,34.0
6,12,4,1,36.0
6,12,5,1,38.0
6,12,6,1,40.0
6,12,7,1,42.0
6,12,8,1,44.0
6,12,9,1,46.0
6,12,10,1,49.0
6,12,12,1,54.0
6,12,13,1,57.0
6,12,14,1,59.0
6,12,15,1,62.0
6,12,16,1,65.0
6,12,17,1,68.0
6,12,18,1,70.0
6,12,19,1,73.0
6,12,20,1,75.0
6,12,21,1,77.0
6,12,22,1,80.0
6,12,23,1,82.0
6,13,0,0,84.0
6,13,1,0,86.0
6,13,2,0,88.0
6,13,3,0,90.0
6,13,4,0,91.0
6,13,5,0,93.0
6,13,6,0,95.0
