month,date,time,day,temp,humid,active_power,active_energy
6,1,1,1,19.3,93.0,18.0,416.5
6,1,2,1,19.2,94.0,18.0,416.5
6,1,3,1,19.1,96.0,18.0,416.5
6,1,4,1,18.6,98.0,18.0,416.5
6,1,5,1,18.6,97.0,17.0,416.6
6,1,6,1,18.7,96.0,18.0,416.6
6,1,7,1,18.9,95.0,36.0,416.6
6,1,8,1,19.6,91.0,26.0,416.6
6,1,9,1,20.1,88.0,38.0,416.6
6,1,10,1,20.9,78.0,43.0,416.7
6,1,11,1,23.1,64.0,39.0,416.7
6,1,12,1,23.5,52.0,31.0,416.7
6,1,13,1,25.2,43.0,44.0,416.7
6,1,14,1,25.5,39.0,38.0,416.8
6,1,15,1,25.9,33.0,43.0,416.8
6,1,16,1,25.4,27.0,39.0,416.8
6,1,17,1,24.9,28.0,42.0,416.8
6,1,18,1,24.5,25.0,36.0,416.9
6,1,19,1,22.7,43.0,24.0,416.9
6,1,20,1,21.0,47.0,20.0,416.9
6,1,21,1,19.4,56.0,18.0,416.9
6,1,22,1,18.7,58.0,17.0,417.0
6,1,23,1,18.3,64.0,17.0,417.0
6,2,0,1,17.6,69.0,17.0,417.0
6,2,2,1,16.2,69.0,18.0,417.0
6,2,3,1,15.5,71.0,17.0,417.0
6,2,4,1,14.9,87.0,17.0,417.1
6,2,5,1,14.4,92.0,17.0,417.1
6,2,6,1,14.8,90.0,18.0,417.1
6,2,7,1,15.6,82.0,17.0,417.1
6,2,8,1,17.4,68.0,34.0,417.1
6,2,9,1,20.2,53.0,46.0,417.1
6,2,10,1,22.1,41.0,30.0,417.2
6,2,11,1,25.6,36.0,30.0,417.2
6,2,12,1,26.3,31.0,28.0,417.2
6,2,13,1,26.6,24.0,36.0,417.2
6,2,14,1,27.2,24.0,33.0,417.3
6,2,15,1,27.6,28.0,34.0,417.3
6,2,16,1,26.7,36.0,34.0,417.3
6,2,17,1,26.0,49.0,45.0,417.4
6,2,18,1,24.7,53.0,46.0,417.4
6,2,19,1,23.3,61.0,27.0,417.4
6,2,20,1,22.3,72.0,21.0,417.4
6,2,21,1,21.2,79.0,21.0,417.5
6,2,22,1,20.3,83.0,31.0,417.5
6,2,23,1,19.7,87.0,22.0,417.5
6,3,0,1,19.9,85.0,20.0,417.5
6,3,1,1,19.8,83.0,19.0,417.5
6,3,3,1,19.9,84.0,19.0,417.6
6,3,4,1,18.8,93.0,18.0,417.6
6,3,5,1,18.3,96.0,18.0,417.6
6,3,6,1,18.7,96.0,19.0,417.6
6,3,7,1,19.4,95.0,19.0,417.6
6,3,8,1,20.2,92.0,35.0,417.7
6,3,9,1,20.6,91.0,28.0,417.7
6,3,10,1,21.6,86.0,28.0,417.7
6,3,11,1,22.6,86.0,29.0,417.7
6,3,12,1,24.6,80.0,47.0,417.8
6,3,13,1,24.8,75.0,39.0,417.8
6,3,14,1,25.6,74.0,33.0,417.8
6,3,15,1,26.7,66.0,43.0,417.8
6,3,16,1,27.9,65.0,32.0,417.9
6,3,17,1,27.4,60.0,48.0,417.9
6,3,18,1,25.4,73.0,34.0,417.9
6,3,19,1,24.2,80.0,24.0,418.0
