date,temp,rain,humid,sun,sun2
2022-06-01 1:00,19.5,,55,,
2022-06-01 2:00,19.4,,53,,
2022-06-01 3:00,18.8,,56,,
2022-06-01 4:00,18.3,,70,,
2022-06-01 5:00,18.4,,61,,
2022-06-01 6:00,18.1,,60,0,0.09
2022-06-01 7:00,19.4,,58,0,0.33
2022-06-01 8:00,20.3,,56,0.6,0.92
2022-06-01 9:00,23.3,,45,1,1.96
2022-06-01 10:00,25.4,,33,1,2.61
2022-06-01 11:00,27.2,,28,1,3.03
2022-06-01 12:00,29.4,,21,1,3.4
2022-06-01 13:00,30.3,,18,1,3.67
2022-06-01 14:00,32.2,,14,1,3.68
2022-06-01 15:00,31.2,,18,1,3.33
2022-06-01 16:00,31.1,,18,1,2.8
2022-06-01 17:00,30.7,,22,1,2.14
2022-06-01 18:00,27.6,,35,1,1.22
2022-06-01 19:00,25,,41,0.6,0.52
2022-06-01 20:00,22.6,,53,0.2,0.13
2022-06-01 21:00,21.2,,61,,
2022-06-01 22:00,20.3,,64,,
2022-06-01 23:00,19.7,,61,,
2022-06-02 0:00,19,,66,,
2022-06-02 1:00,18.7,,61,,
2022-06-02 2:00,17.9,,83,,
2022-06-02 3:00,16.7,,95,,
2022-06-02 4:00,16.7,,97,,
2022-06-02 5:00,17.2,,94,,
2022-06-02 6:00,17.3,,92,0,0.1
2022-06-02 7:00,18,,89,0.4,0.53
2022-06-02 8:00,18.8,,87,0.5,1.05
2022-06-02 9:00,21.1,,74,1,1.83
2022-06-02 10:00,22.6,,65,1,2.64
2022-06-02 11:00,24.1,,58,1,3.15
2022-06-02 12:00,26.6,,55,1,3.42
2022-06-02 13:00,27,,45,1,3.54
2022-06-02 14:00,28.3,,44,1,3.44
2022-06-02 15:00,29.7,,42,1,3.14
2022-06-02 16:00,29.8,,41,1,2.63
2022-06-02 17:00,29.4,,46,1,1.96
2022-06-02 18:00,27.6,,57,1,1.22
2022-06-02 19:00,25.7,,67,0.6,0.52
2022-06-02 20:00,23.6,,80,0,0.1
2022-06-02 21:00,22.1,,88,,
2022-06-02 22:00,21.1,,96,,
2022-06-02 23:00,20.8,,97,,
2022-06-03 0:00,20.4,,97,,
2022-06-03 1:00,20.7,,96,,
2022-06-03 2:00,20.6,,95,,
2022-06-03 3:00,20,,97,,
2022-06-03 4:00,19.7,,99,,
2022-06-03 5:00,19.4,,99,,
2022-06-03 6:00,19,,99,0,0.11
2022-06-03 7:00,19.7,,98,0.9,0.55
2022-06-03 8:00,21.7,,84,1,1.24
2022-06-03 9:00,23.1,,75,1,1.99
2022-06-03 10:00,24.7,,63,1,2.64
2022-06-03 11:00,27.1,,50,1,3.14
2022-06-03 12:00,29,,39,1,3.46
2022-06-03 13:00,31,,35,1,3.55
2022-06-03 14:00,32.6,,32,1,3.43
2022-06-03 15:00,32.8,,34,1,3.09
2022-06-03 16:00,31.4,,40,0.5,1.75
2022-06-03 17:00,31.1,,40,1,1.97
2022-06-03 18:00,28.8,,49,0.6,0.8
2022-06-03 19:00,26.5,,71,0,0.35
2022-06-03 20:00,24.8,,79,0,0.12
2022-06-03 21:00,23.9,,66,,
2022-06-03 22:00,23.4,,59,,
2022-06-03 23:00,23,,64,,
2022-06-04 0:00,22.1,,56,,
2022-06-04 1:00,21.1,,66,,
2022-06-04 2:00,20.6,,67,,
2022-06-04 3:00,19.9,,70,,
2022-06-04 4:00,19.3,,78,,
2022-06-04 5:00,18.4,,85,,
2022-06-04 6:00,19,,82,0,0.12
2022-06-04 7:00,19.8,,75,0.4,0.51
2022-06-04 8:00,21.7,,61,1,1.18
2022-06-04 9:00,24.6,,49,1,2.02
2022-06-04 10:00,25.7,,43,1,2.69
2022-06-04 11:00,27.8,,37,0.9,2.89
2022-06-04 12:00,29.9,,34,1,3.16
2022-06-04 13:00,30.4,,32,0.9,3.05
2022-06-04 14:00,28.6,,33,0.4,2.09
2022-06-04 15:00,29,,33,0.2,1.86
2022-06-04 16:00,29.6,,31,1,2.1
2022-06-04 17:00,29.3,,29,0.8,1.72
2022-06-04 18:00,27.7,,32,0.1,0.8
2022-06-04 19:00,26.4,,37,0,0.35
2022-06-04 20:00,25.4,,40,0,0.09
2022-06-04 21:00,24.5,,44,,
2022-06-04 22:00,24.2,,43,,
2022-06-04 23:00,23.7,,47,,
2022-06-05 0:00,22.7,0,53,,
2022-06-05 1:00,22.6,0,54,,
2022-06-05 2:00,22,0,57,,
2022-06-05 3:00,22.3,0,60,,
2022-06-05 4:00,19.5,0.2,83,,
2022-06-05 5:00,18.6,0.6,91,,
2022-06-05 6:00,18,0,99,0,0.06
2022-06-05 7:00,18.3,0,99,0,0.13
2022-06-05 8:00,18.2,0.4,99,0,0.19
2022-06-05 9:00,18,1,99,0,0.26
2022-06-05 10:00,18.7,0.4,99,0,0.51
2022-06-05 11:00,19.9,0,90,0,0.66
2022-06-05 12:00,19,0.3,98,0,0.71
2022-06-05 13:00,19.1,0,93,0,0.54
2022-06-05 14:00,18.5,0.1,99,0,0.46
2022-06-05 15:00,17.8,0.9,99,0,0.37
2022-06-05 16:00,17.6,3.4,99,0,0.3
2022-06-05 17:00,17.4,4.3,99,0,0.29
2022-06-05 18:00,17,5.7,99,0,0.13
2022-06-05 19:00,17.1,2.2,99,0,0.1
2022-06-05 20:00,17.1,2,99,0,0.06
2022-06-05 21:00,17.2,0.7,99,,
2022-06-05 22:00,17.1,,99,,
2022-06-05 23:00,17.1,,99,,
2022-06-06 0:00,17.2,,99,,
2022-06-06 1:00,17.2,,99,,
2022-06-06 2:00,17.5,,99,,
2022-06-06 3:00,16.8,,99,,
2022-06-06 4:00,16.8,,99,,
2022-06-06 5:00,16.9,,99,,
2022-06-06 6:00,17.2,,99,0,0.09
2022-06-06 7:00,17.6,,99,0,0.23
2022-06-06 8:00,18.1,,99,0,0.31
2022-06-06 9:00,19.6,,99,0,0.76
2022-06-06 10:00,20,,88,0,0.9
2022-06-06 11:00,20,,87,0,0.7
2022-06-06 12:00,21.3,,73,0.5,2.28
2022-06-06 13:00,21.7,,78,0.2,1.65
2022-06-06 14:00,23.7,,69,0.5,2.3
2022-06-06 15:00,23.8,,67,0.8,2.68
2022-06-06 16:00,24.2,,68,0.7,2.04
2022-06-06 17:00,24.2,,63,0.9,1.79
2022-06-06 18:00,23.9,,62,0.4,0.66
2022-06-06 19:00,23.6,,63,0.5,0.5
2022-06-06 20:00,22,,82,0.2,0.12
2022-06-06 21:00,20,,96,,
2022-06-06 22:00,19.1,,99,,
2022-06-06 23:00,18.9,,99,,
2022-06-07 0:00,19.1,,99,,
2022-06-07 1:00,18.8,,99,,
