date-time,temp,humid
2020-06-01-1,19.3,93.0
2020-06-01-2,19.2,94.0
2020-06-01-3,19.1,96.0
2020-06-01-4,18.6,98.0
2020-06-01-5,18.6,97.0
2020-06-01-6,18.7,96.0
2020-06-01-7,18.9,95.0
2020-06-01-8,19.6,91.0
2020-06-01-9,20.1,88.0
2020-06-01-10,20.9,78.0
2020-06-01-11,23.1,64.0
2020-06-01-12,23.5,52.0
2020-06-01-13,25.2,43.0
2020-06-01-14,25.5,39.0
2020-06-01-15,25.9,33.0
2020-06-01-16,25.4,27.0
2020-06-01-17,24.9,28.0
2020-06-01-18,24.5,25.0
2020-06-01-19,22.7,43.0
2020-06-01-20,21.0,47.0
2020-06-01-21,19.4,56.0
2020-06-01-22,18.7,58.0
2020-06-01-23,18.3,64.0
2020-06-02-0,17.6,69.0
2020-06-02-1,16.6,76.0
2020-06-02-2,16.2,69.0
2020-06-02-3,15.5,71.0
2020-06-02-4,14.9,87.0
2020-06-02-5,14.4,92.0
2020-06-02-6,14.8,90.0
2020-06-02-7,15.6,82.0
2020-06-02-8,17.4,68.0
2020-06-02-9,20.2,53.0
2020-06-02-10,22.1,41.0
2020-06-02-11,25.6,36.0
2020-06-02-12,26.3,31.0
2020-06-02-13,26.6,24.0
2020-06-02-14,27.2,24.0
2020-06-02-15,27.6,28.0
2020-06-02-16,26.7,36.0
2020-06-02-17,26.0,49.0
2020-06-02-18,24.7,53.0
2020-06-02-19,23.3,61.0
2020-06-02-20,22.3,72.0
2020-06-02-21,21.2,79.0
2020-06-02-22,20.3,83.0
2020-06-02-23,19.7,87.0
2020-06-03-0,19.9,85.0
2020-06-03-1,19.8,83.0
2020-06-03-2,20.2,79.0
2020-06-03-3,19.9,84.0
2020-06-03-4,18.8,93.0
2020-06-03-5,18.3,96.0
2020-06-03-6,18.7,96.0
2020-06-03-7,19.4,95.0
2020-06-03-8,20.2,92.0
2020-06-03-9,20.6,91.0
2020-06-03-10,21.6,86.0
2020-06-03-11,22.6,86.0
2020-06-03-12,24.6,80.0
2020-06-03-13,24.8,75.0
2020-06-03-14,25.6,74.0
2020-06-03-15,26.7,66.0
2020-06-03-16,27.9,65.0
2020-06-03-17,27.4,60.0
2020-06-03-18,25.4,73.0
2020-06-03-19,24.2,80.0
2020-06-03-20,24.0,77.0
2020-06-03-21,23.8,81.0
2020-06-03-22,23.2,88.0
2020-06-03-23,22.5,94.0
2020-06-04-0,21.9,96.0
2020-06-04-1,21.8,96.0
2020-06-04-2,21.5,95.0
2020-06-04-3,21.3,94.0
2020-06-04-4,20.5,96.0
2020-06-04-5,20.3,96.0
2020-06-04-6,20.5,96.0
2020-06-04-7,21.3,91.0
2020-06-04-8,22.0,84.0
2020-06-04-9,23.4,76.0
2020-06-04-10,24.6,70.0
2020-06-04-11,27.3,64.0
2020-06-04-12,28.0,59.0
2020-06-04-13,29.0,56.0
